family,task,backbone,split,mode,condition,n,physical_task_seeds,success_percent,final_success_percent,support_successes,eligible_n,eligible_success_percent,metric,max,mean,median,min,q25,q75,actual_calls_mean,success_calls_mean,budget_penalized_commands_mean,failures
core,pusht,transformer,test,single,"[1, 1]",192,64,3.6458333333333335,3.6458333333333335,3,189,2.1164021164021163,position_error_px,1555.1317318153974,387.66746540036246,357.42709904893843,11.781127929069106,229.8547863322304,514.3324686250212,49.125,26.0,49.125,185
core,pusht,transformer,test,single,"[1, 2]",192,64,3.6458333333333335,3.6458333333333335,3,189,2.1164021164021163,agent_position_error_px,1712.1446417294671,303.87398208802614,248.87951069814378,12.376349091035861,149.57779335403342,413.4950094999826,48.921875,20.428571428571427,48.921875,185
core,pusht,transformer,test,single,"[1, 2]",192,64,3.6458333333333335,3.6458333333333335,3,189,2.1164021164021163,block_angle_error_rad,3.1406421769374173,1.2184817835065167,1.0379945738774472,0.0,0.43650580221151924,1.9088091136283154,48.921875,20.428571428571427,48.921875,185
core,pusht,transformer,test,single,"[1, 2]",192,64,3.6458333333333335,3.6458333333333335,3,189,2.1164021164021163,block_translation_error_px,6239.167817750389,238.6519208269394,191.30381153102343,0.0,68.36982447225299,333.72081299664234,48.921875,20.428571428571427,48.921875,185
core,pusht,transformer,test,single,"[1, 2]",192,64,3.6458333333333335,3.6458333333333335,3,189,2.1164021164021163,position_error_px,6243.228512897632,425.4313909435727,386.8692938284854,12.700531133820295,232.92253991975434,528.9103738322818,48.921875,20.428571428571427,48.921875,185
core,pusht,transformer,test,single,"[2, 0]",192,64,8.333333333333334,8.333333333333334,9,183,3.8251366120218577,agent_position_error_px,969.659338377812,327.8865857280493,258.2847351616589,5.4063475161630405,110.65033289296724,508.9038861599158,47.234375,16.8125,47.234375,176
core,pusht,transformer,test,single,"[2, 0]",192,64,8.333333333333334,8.333333333333334,9,183,3.8251366120218577,block_angle_error_rad,2.044072172229816,0.4122284401909175,0.2815482449468081,0.0,0.08333276399168987,0.5274758575621495,47.234375,16.8125,47.234375,176
core,pusht,transformer,test,single,"[2, 0]",192,64,8.333333333333334,8.333333333333334,9,183,3.8251366120218577,block_translation_error_px,211.6032043075353,53.33898721888365,45.865982532469786,0.0,20.1832518145545,73.1712225914864,47.234375,16.8125,47.234375,176
core,pusht,transformer,test,single,"[2, 0]",192,64,8.333333333333334,8.333333333333334,9,183,3.8251366120218577,position_error_px,971.1536107998504,338.9442104802852,269.4690542581926,9.980418950618622,127.50917096339278,524.5249323804119,47.234375,16.8125,47.234375,176
core,pusht,transformer,test,single,"[2, 1]",192,64,2.6041666666666665,2.6041666666666665,3,189,1.0582010582010581,agent_position_error_px,1054.3331510625947,288.6483612228465,235.81688821413172,8.72933559677546,115.21640118035306,392.20522773128243,49.078125,14.6,49.078125,187
core,pusht,transformer,test,single,"[2, 1]",192,64,2.6041666666666665,2.6041666666666665,3,189,1.0582010582010581,block_angle_error_rad,3.06650248823869,0.9506498020583584,0.6453613425911935,0.0,0.12963681972684782,1.5976748898265973,49.078125,14.6,49.078125,187
core,pusht,transformer,test,single,"[2, 1]",192,64,2.6041666666666665,2.6041666666666665,3,189,1.0582010582010581,block_translation_error_px,2490.2754249042227,142.8908619086268,92.40005509280897,0.0,45.72910184666539,173.61374259928647,49.078125,14.6,49.078125,187
core,pusht,transformer,test,single,"[2, 1]",192,64,2.6041666666666665,2.6041666666666665,3,189,1.0582010582010581,position_error_px,2492.763563741103,350.73622864718203,302.87671974834086,13.125017254524582,173.06544092010296,451.71444892135537,49.078125,14.6,49.078125,187
core,pusht,transformer,test,single,"[2, 2]",192,64,2.0833333333333335,2.0833333333333335,3,189,0.5291005291005291,agent_position_error_px,936.4497885496315,300.10319466229686,248.92276162622056,4.640293171160683,140.5346601805453,425.6382274148285,49.223958333333336,12.75,49.223958333333336,188
core,pusht,transformer,test,single,"[2, 2]",192,64,2.0833333333333335,2.0833333333333335,3,189,0.5291005291005291,block_angle_error_rad,3.125559584292608,1.2379846192707074,1.0347802597798768,0.0,0.25005986577136463,2.0226736621048964,49.223958333333336,12.75,49.223958333333336,188
core,pusht,transformer,test,single,"[2, 2]",192,64,2.0833333333333335,2.0833333333333335,3,189,0.5291005291005291,block_translation_error_px,587.1129545198626,184.11441370289,138.99257767855255,0.0,52.04065290680383,317.22514599555,49.223958333333336,12.75,49.223958333333336,188
core,pusht,transformer,test,single,"[2, 2]",192,64,2.0833333333333335,2.0833333333333335,3,189,0.5291005291005291,position_error_px,1064.3056640783325,383.83111767721306,378.31909690552703,13.467801012692046,235.1882252979786,516.1927828865321,49.223958333333336,12.75,49.223958333333336,188
core,reacher,transformer,extrapolation,factorized,all,576,64,19.618055555555557,19.618055555555557,0,576,19.618055555555557,wrapped_joint_error_rad,4.0279429682394,0.8874643906707692,0.7258097616854366,0.006390909380637295,0.21255378353148563,1.4020684634742357,46.732638888888886,33.34513274336283,46.732638888888886,463
core,reacher,transformer,extrapolation,factorized,"[0, 3]",192,64,38.541666666666664,38.541666666666664,0,192,38.541666666666664,wrapped_joint_error_rad,0.83968693940356,0.23254494859097488,0.20389080376564844,0.006630755586000137,0.04733714815176968,0.37300655776084435,43.234375,32.445945945945944,43.234375,118
core,reacher,transformer,extrapolation,factorized,"[3, 0]",192,64,10.9375,10.9375,0,192,10.9375,wrapped_joint_error_rad,4.0279429682394,1.194794019898234,1.1163030290824387,0.006390909380637295,0.6562623951562312,1.7054123748994265,48.473958333333336,36.04761904761905,48.473958333333336,171
core,reacher,transformer,extrapolation,factorized,"[3, 3]",192,64,9.375,9.375,0,192,9.375,wrapped_joint_error_rad,3.2818888426957673,1.2350542035230987,1.2064662375275859,0.012502305744884628,0.7321238982192009,1.7736380697710055,48.489583333333336,33.888888888888886,48.489583333333336,174
core,reacher,transformer,extrapolation,factorized_unpaired,all,576,64,20.833333333333332,20.833333333333332,0,576,20.833333333333332,wrapped_joint_error_rad,3.775322476596958,1.011497876764192,0.7748150316919431,0.004984131645509561,0.19331887832816963,1.6853271902585227,46.80034722222222,34.641666666666666,46.80034722222222,456
core,reacher,transformer,extrapolation,factorized_unpaired,"[0, 3]",192,64,44.791666666666664,44.791666666666664,0,192,44.791666666666664,wrapped_joint_error_rad,1.0127509958397296,0.22686518555036447,0.14631949179124631,0.009528180106673504,0.04451021471949746,0.3801688782332937,43.65625,35.83720930232558,43.65625,106
core,reacher,transformer,extrapolation,factorized_unpaired,"[3, 0]",192,64,7.291666666666667,7.291666666666667,0,192,7.291666666666667,wrapped_joint_error_rad,3.775322476596958,1.436243639787411,1.2641957662441807,0.013249541919355816,0.7770564352734926,2.1113076007619123,48.682291666666664,31.928571428571427,48.682291666666664,178
core,reacher,transformer,extrapolation,factorized_unpaired,"[3, 3]",192,64,10.416666666666666,10.416666666666666,0,192,10.416666666666666,wrapped_joint_error_rad,3.736624311849861,1.3713848049548005,1.4126507464944358,0.004984131645509561,0.7568262212328825,1.9339872072311524,48.0625,31.4,48.0625,172
core,reacher,transformer,extrapolation,framewise,all,576,64,21.180555555555557,21.180555555555557,0,576,21.180555555555557,wrapped_joint_error_rad,4.065802044751222,0.965216382637184,0.668578529319606,0.001725729016839627,0.18252204612759665,1.4914092993483337,46.48090277777778,33.385245901639344,46.48090277777778,454
core,reacher,transformer,extrapolation,framewise,"[0, 3]",192,64,42.1875,42.1875,0,192,42.1875,wrapped_joint_error_rad,2.0253611366693063,0.2457331129771081,0.15773735987170295,0.008792397006225909,0.04138295656591702,0.39220987760480397,43.791666666666664,35.28395061728395,43.791666666666664,111
core,reacher,transformer,extrapolation,framewise,"[3, 0]",192,64,12.5,12.5,0,192,12.5,wrapped_joint_error_rad,4.065802044751222,1.3116157581317631,1.2690790653179445,0.001725729016839627,0.604907885879858,1.8976857987755418,47.578125,30.625,47.578125,168
core,reacher,transformer,extrapolation,framewise,"[3, 3]",192,64,8.854166666666666,8.854166666666666,0,192,8.854166666666666,wrapped_joint_error_rad,3.788870838875014,1.3383002768026813,1.1783199087463863,0.019181838731255566,0.66405978894954,1.8243048548429062,48.072916666666664,28.235294117647058,48.072916666666664,175
core,reacher,transformer,extrapolation,frozen,all,192,64,17.708333333333332,17.708333333333332,0,192,17.708333333333332,wrapped_joint_error_rad,3.7951106407915174,1.222382782782278,1.0384935438982708,0.005547787356609363,0.33952553990334133,2.0190931058306485,46.572916666666664,30.647058823529413,46.572916666666664,158
core,reacher,transformer,extrapolation,frozen,"[0, 3]",64,64,39.0625,39.0625,0,64,39.0625,wrapped_joint_error_rad,0.8218316036150413,0.26465290925714346,0.24385275538530254,0.005547787356609363,0.048952984117535736,0.44665958598327726,43.359375,33.0,43.359375,39
